kind,label,morph,gamma_min,gamma_max,tau_h,config,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,n_violations,rmse_phi_sen,rmse_rho_bar,rmse_varphi_bar_deg,solver_success_rate
oat,gamma_min:high,,0.003336,,,open,44,13.26397247,0.2712870846,2.115176715,33.24699962,0,0.00116827667,0.0001684020647,0.01762780581,1.0
oat,gamma_min:high,,0.003336,,,closed,45,13.29544224,0.2706567634,2.112499049,33.41041422,0,0.0008855053123,0.001410252237,0.09273963358,1.0
oat,gamma_min:high,,0.003336,,,open,45,13.26397306,0.2712870714,2.115176673,33.24700213,0,0.001168276638,0.0001684020128,0.01762780238,1.0
oat,gamma_min:high,,0.003336,,,closed,46,13.29544218,0.2706567661,2.112499021,33.41041598,0,0.0008855085422,0.001410256415,0.09273989152,1.0
oat,gamma_min:high,,0.003336,,,open,46,13.26397302,0.2712870721,2.115176661,33.24700289,0,0.001168276639,0.0001684020134,0.01762780244,1.0
oat,gamma_max:low,,,0.010000000000000002,,closed,42,13.20123278,0.2680728133,2.119036481,32.985675,0,0.001292262032,0.001788367227,0.1177817563,1.0
oat,gamma_max:low,,,0.010000000000000002,,open,42,13.24238818,0.2671626906,2.115828556,33.18048207,0,0.001688509467,0.0002261669719,0.02363428877,1.0
oat,gamma_max:low,,,0.010000000000000002,,closed,43,13.20123552,0.2680727612,2.119036367,32.9856818,0,0.001292283666,0.001788253923,0.1177748969,1.0
oat,gamma_max:low,,,0.010000000000000002,,open,43,13.24238794,0.2671626957,2.115828593,33.18047977,0,0.001688509402,0.0002261669907,0.02363428943,1.0
oat,gamma_max:low,,,0.010000000000000002,,closed,44,13.20124153,0.2680726452,2.119036099,32.98569786,0,0.00129233269,0.001788028431,0.1177612556,1.0
oat,gamma_max:low,,,0.010000000000000002,,open,44,13.24238782,0.2671626986,2.115828594,33.18047972,0,0.00168850935,0.0002261669916,0.02363428916,1.0
oat,gamma_max:low,,,0.010000000000000002,,closed,45,13.20123274,0.2680728137,2.119036495,32.98567413,0,0.00129225936,0.001788377239,0.1177823625,1.0
oat,gamma_max:low,,,0.010000000000000002,,open,45,13.24238841,0.267162685,2.115828553,33.18048224,0,0.001688509568,0.0002261669674,0.02363428915,1.0
oat,gamma_max:low,,,0.010000000000000002,,closed,46,13.20123258,0.2680728189,2.119036496,32.98567413,0,0.00129225629,0.001788381263,0.1177826037,1.0
oat,gamma_max:low,,,0.010000000000000002,,open,46,13.24238837,0.2671626856,2.115828541,33.180483,0,0.001688509547,0.0002261669642,0.02363428881,1.0
oat,gamma_max:high,,,0.015,,closed,42,13.31179999,0.2709840411,2.111639543,33.46617882,0,0.001306136386,0.001894719019,0.1245321046,1.0
oat,gamma_max:high,,,0.015,,open,42,13.2675197,0.2718397178,2.115089329,33.25591519,0,0.001684475333,0.0002255715128,0.02357236455,1.0
oat,gamma_max:high,,,0.015,,closed,43,13.31180547,0.2709839505,2.111639303,33.46619322,0,0.00130609881,0.001894930294,0.1245449503,1.0
oat,gamma_max:high,,,0.015,,open,43,13.26751946,0.2718397222,2.115089366,33.2559129,0,0.001684475268,0.0002255715316,0.02357236522,1.0
oat,gamma_max:high,,,0.015,,closed,44,13.31180003,0.2709840428,2.111639532,33.46617951,0,0.001306136692,0.001894737548,0.1245332332,1.0
oat,gamma_max:high,,,0.015,,open,44,13.26751935,0.2718397251,2.115089367,33.25591285,0,0.001684475216,0.0002255715325,0.02357236495,1.0
oat,gamma_max:high,,,0.015,,closed,45,13.31180228,0.2709840043,2.111639453,33.46618424,0,0.00130612528,0.001894795278,0.1245367454,1.0
oat,gamma_max:high,,,0.015,,open,45,13.26751994,0.2718397125,2.115089325,33.25591536,0,0.001684475433,0.0002255715083,0.02357236493,1.0
oat,gamma_max:high,,,0.015,,closed,46,13.31179989,0.2709840441,2.111639552,33.46617824,0,0.001306140876,0.001894708641,0.1245314773,1.0
oat,gamma_max:high,,,0.015,,open,46,13.2675199,0.2718397132,2.115089313,33.25591613,0,0.001684475412,0.000225571505,0.02357236459,1.0
oat,tau_h:low,,,,0.4,closed,42,13.19867406,0.2678997862,2.11929942,32.96815994,0,0.001337570804,0.001892691878,0.12482079,1.0
oat,tau_h:low,,,,0.4,open,42,13.24169306,0.2669503855,2.115862112,33.17705792,0,0.001759904103,0.0002414019389,0.02525468034,1.0
oat,tau_h:low,,,,0.4,closed,43,13.19867229,0.2678998203,2.119299497,32.96815534,0,0.001337556694,0.001892745446,0.1248240312,1.0
oat,tau_h:low,,,,0.4,open,43,13.24169282,0.2669503905,2.115862149,33.17705562,0,0.001759904043,0.0002414019626,0.02525468135,1.0
