n_prediction,n_control,seed,hour,tau_Pa,phi_sen,rho_bar,varphi_bar_deg
3,1,42,0,,0.2011173184,1.920111732,45
3,1,42,1,0,0.2070057453,1.920700575,45
3,1,42,2,0,0.2127364463,1.921273645,45
3,1,42,3,0,0.2183152447,1.921831524,45
3,1,42,4,0,0.2237476823,1.922374768,45
3,1,42,5,0,0.2290390363,1.922903904,45
3,1,42,6,0,0.2341943346,1.923419433,45
3,1,43,0,,0.2011173184,1.920111732,45
3,1,43,1,0,0.2070057453,1.920700575,45
3,1,43,2,0,0.2127364463,1.921273645,45
3,1,43,3,0,0.2183152447,1.921831524,45
3,1,43,4,0,0.2237476823,1.922374768,45
3,1,43,5,0,0.2290390363,1.922903904,45
3,1,43,6,0,0.2341943346,1.923419433,45
3,1,44,0,,0.2011173184,1.920111732,45
3,1,44,1,0,0.2070057453,1.920700575,45
3,1,44,2,0,0.2127364463,1.921273645,45
3,1,44,3,0,0.2183152447,1.921831524,45
3,1,44,4,0,0.2237476823,1.922374768,45
3,1,44,5,0,0.2290390363,1.922903904,45
3,1,44,6,0,0.2341943346,1.923419433,45
3,1,45,0,,0.2011173184,1.920111732,45
3,1,45,1,0,0.2070057453,1.920700575,45
3,1,45,2,0,0.2127364463,1.921273645,45
3,1,45,3,0,0.2183152447,1.921831524,45
3,1,45,4,0,0.2237476823,1.922374768,45
3,1,45,5,0,0.2290390363,1.922903904,45
3,1,45,6,0,0.2341943346,1.923419433,45
3,1,46,0,,0.2011173184,1.920111732,45
3,1,46,1,0,0.2070057453,1.920700575,45
3,1,46,2,0,0.2127364463,1.921273645,45
3,1,46,3,0,0.2183152447,1.921831524,45
3,1,46,4,0,0.2237476823,1.922374768,45
3,1,46,5,0,0.2290390363,1.922903904,45
3,1,46,6,0,0.2341943346,1.923419433,45
3,1,47,0,,0.2011173184,1.920111732,45
3,1,47,1,0,0.2070057453,1.920700575,45
3,1,47,2,0,0.2127364463,1.921273645,45
3,1,47,3,0,0.2183152447,1.921831524,45
3,1,47,4,0,0.2237476823,1.922374768,45
3,1,47,5,0,0.2290390363,1.922903904,45
3,1,47,6,0,0.2341943346,1.923419433,45
3,1,48,0,,0.2011173184,1.920111732,45
3,1,48,1,0,0.2070057453,1.920700575,45
3,1,48,2,0,0.2127364463,1.921273645,45
3,1,48,3,0,0.2183152447,1.921831524,45
3,1,48,4,0,0.2237476823,1.922374768,45
3,1,48,5,0,0.2290390363,1.922903904,45
3,1,48,6,0,0.2341943346,1.923419433,45
3,1,49,0,,0.2011173184,1.920111732,45
3,1,49,1,0,0.2070057453,1.920700575,45
3,1,49,2,0,0.2127364463,1.921273645,45
3,1,49,3,0,0.2183152447,1.921831524,45
3,1,49,4,0,0.2237476823,1.922374768,45
3,1,49,5,0,0.2290390363,1.922903904,45
3,1,49,6,0,0.2341943346,1.923419433,45
3,1,50,0,,0.2011173184,1.920111732,45
3,1,50,1,0,0.2070057453,1.920700575,45
3,1,50,2,0,0.2127364463,1.921273645,45
3,1,50,3,0,0.2183152447,1.921831524,45
3,1,50,4,0,0.2237476823,1.922374768,45
3,1,50,5,0,0.2290390363,1.922903904,45
3,1,50,6,0,0.2341943346,1.923419433,45
3,1,51,0,,0.2011173184,1.920111732,45
3,1,51,1,0,0.2070057453,1.920700575,45
3,1,51,2,0,0.2127364463,1.921273645,45
3,1,51,3,0,0.2183152447,1.921831524,45
3,1,51,4,0,0.2237476823,1.922374768,45
3,1,51,5,0,0.2290390363,1.922903904,45
3,1,51,6,0,0.2341943346,1.923419433,45
3,1,52,0,,0.2011173184,1.920111732,45
3,1,52,1,0,0.2070057453,1.920700575,45
3,1,52,2,0,0.2127364463,1.921273645,45
3,1,52,3,0,0.2183152447,1.921831524,45
3,1,52,4,0,0.2237476823,1.922374768,45
3,1,52,5,0,0.2290390363,1.922903904,45
3,1,52,6,0,0.2341943346,1.923419433,45
3,1,53,0,,0.2011173184,1.920111732,45
3,1,53,1,0,0.2070057453,1.920700575,45
3,1,53,2,0,0.2127364463,1.921273645,45
3,1,53,3,0,0.2183152447,1.921831524,45
3,1,53,4,0,0.2237476823,1.922374768,45
3,1,53,5,0,0.2290390363,1.922903904,45
3,1,53,6,0,0.2341943346,1.923419433,45
3,1,54,0,,0.2011173184,1.920111732,45
3,1,54,1,0,0.2070057453,1.920700575,45
3,1,54,2,0,0.2127364463,1.921273645,45
3,1,54,3,0,0.2183152447,1.921831524,45
3,1,54,4,0,0.2237476823,1.922374768,45
3,1,54,5,0,0.2290390363,1.922903904,45
3,1,54,6,0,0.2341943346,1.923419433,45
3,1,55,0,,0.2011173184,1.920111732,45
3,1,55,1,0,0.2070057453,1.920700575,45
3,1,55,2,0,0.2127364463,1.921273645,45
3,1,55,3,0,0.2183152447,1.921831524,45
3,1,55,4,0,0.2237476823,1.922374768,45
3,1,55,5,0,0.2290390363,1.922903904,45
3,1,55,6,0,0.2341943346,1.923419433,45
3,1,56,0,,0.2011173184,1.920111732,45
3,1,56,1,0,0.2070057453,1.920700575,45
3,1,56,2,0,0.2127364463,1.921273645,45
3,1,56,3,0,0.2183152447,1.921831524,45
3,1,56,4,0,0.2237476823,1.922374768,45
3,1,56,5,0,0.2290390363,1.922903904,45
3,1,56,6,0,0.2341943346,1.923419433,45
3,1,57,0,,0.2011173184,1.920111732,45
3,1,57,1,0,0.2070057453,1.920700575,45
3,1,57,2,0,0.2127364463,1.921273645,45
3,1,57,3,0,0.2183152447,1.921831524,45
3,1,57,4,0,0.2237476823,1.922374768,45
3,1,57,5,0,0.2290390363,1.922903904,45
3,1,57,6,0,0.2341943346,1.923419433,45
3,1,58,0,,0.2011173184,1.920111732,45
3,1,58,1,0,0.2070057453,1.920700575,45
3,1,58,2,0,0.2127364463,1.921273645,45
3,1,58,3,0,0.2183152447,1.921831524,45
3,1,58,4,0,0.2237476823,1.922374768,45
3,1,58,5,0,0.2290390363,1.922903904,45
3,1,58,6,0,0.2341943346,1.923419433,45
3,1,59,0,,0.2011173184,1.920111732,45
3,1,59,1,0,0.2070057453,1.920700575,45
3,1,59,2,0,0.2127364463,1.921273645,45
3,1,59,3,0,0.2183152447,1.921831524,45
3,1,59,4,0,0.2237476823,1.922374768,45
3,1,59,5,0,0.2290390363,1.922903904,45
3,1,59,6,0,0.2341943346,1.923419433,45
3,1,60,0,,0.2011173184,1.920111732,45
3,1,60,1,0,0.2070057453,1.920700575,45
3,1,60,2,0,0.2127364463,1.921273645,45
3,1,60,3,0,0.2183152447,1.921831524,45
3,1,60,4,0,0.2237476823,1.922374768,45
3,1,60,5,0,0.2290390363,1.922903904,45
3,1,60,6,0,0.2341943346,1.923419433,45
3,1,61,0,,0.2011173184,1.920111732,45
3,1,61,1,0,0.2070057453,1.920700575,45
3,1,61,2,0,0.2127364463,1.921273645,45
3,1,61,3,0,0.2183152447,1.921831524,45
3,1,61,4,0,0.2237476823,1.922374768,45
3,1,61,5,0,0.2290390363,1.922903904,45
3,1,61,6,0,0.2341943346,1.923419433,45
3,2,42,0,,0.2011173184,1.920111732,45
3,2,42,1,0.5,0.2071156611,1.920711566,45
3,2,42,2,1,0.2187517809,1.946844308,42.19097289
3,2,42,3,1.5,0.2365604882,1.978347991,38.84715653
3,2,42,4,1.964299972,0.2582099513,2.00774491,35.78355962
3,2,42,5,1.578525443,0.2752727194,2.029854111,33.4882306
3,2,42,6,1.108297233,0.2861071837,2.042069172,32.23592397
3,2,43,0,,0.2011173184,1.920111732,45
3,2,43,1,0.5,0.2071156611,1.920711566,45
3,2,43,2,1,0.2187517809,1.946844308,42.19097289
3,2,43,3,1.5,0.2365604882,1.978347991,38.84715653
3,2,43,4,1.964299997,0.2582099515,2.00774491,35.78355961
3,2,43,5,1.578525405,0.2752727192,2.029854111,33.48823062
3,2,43,6,1.108297378,0.2861071853,2.042069175,32.23592367
3,2,44,0,,0.2011173184,1.920111732,45
3,2,44,1,0.5,0.2071156611,1.920711566,45
3,2,44,2,1,0.2187517809,1.946844308,42.19097289
3,2,44,3,1.5,0.2365604882,1.978347991,38.84715653
3,2,44,4,1.964300028,0.2582099517,2.00774491,35.7835596
3,2,44,5,1.578525454,0.2752727199,2.029854111,33.48823058
