n_prediction,n_control,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,mean_solve_time_s,solver_success_rate,n_constraint_violations,violation_hours
3,1,42,19.36243656,0.2341943346,1.923419433,45,0.0950607,1,0,
3,1,43,19.36243656,0.2341943346,1.923419433,45,0.0883515,1,0,
3,1,44,19.36243656,0.2341943346,1.923419433,45,0.0771952,1,0,
3,1,45,19.36243656,0.2341943346,1.923419433,45,0.0880377,1,0,
3,1,46,19.36243656,0.2341943346,1.923419433,45,0.0930809,1,0,
3,1,47,19.36243656,0.2341943346,1.923419433,45,0.0897174,1,0,
3,1,48,19.36243656,0.2341943346,1.923419433,45,0.0870199,1,0,
3,1,49,19.36243656,0.2341943346,1.923419433,45,0.0899026,1,0,
3,1,50,19.36243656,0.2341943346,1.923419433,45,0.0878945,1,0,
3,1,51,19.36243656,0.2341943346,1.923419433,45,0.0947899,1,0,
3,1,52,19.36243656,0.2341943346,1.923419433,45,0.0883613,1,0,
3,1,53,19.36243656,0.2341943346,1.923419433,45,0.083533,1,0,
3,1,54,19.36243656,0.2341943346,1.923419433,45,0.0947834,1,0,
3,1,55,19.36243656,0.2341943346,1.923419433,45,0.0806436,1,0,
3,1,56,19.36243656,0.2341943346,1.923419433,45,0.0772374,1,0,
3,1,57,19.36243656,0.2341943346,1.923419433,45,0.0764711,1,0,
3,1,58,19.36243656,0.2341943346,1.923419433,45,0.090473,1,0,
3,1,59,19.36243656,0.2341943346,1.923419433,45,0.114335,1,0,
3,1,60,19.36243656,0.2341943346,1.923419433,45,0.129429,1,0,
3,1,61,19.36243656,0.2341943346,1.923419433,45,0.104525,1,0,
3,2,42,14.06553239,0.2861071837,2.042069172,32.23592397,0.295531,1,0,
3,2,43,14.06553235,0.2861071853,2.042069175,32.23592367,0.293128,1,0,
3,2,44,14.06553224,0.2861071905,2.042069182,32.23592288,0.268857,1,0,
3,2,45,14.06553237,0.286107183,2.042069173,32.2359238,0.259902,1,0,
3,2,46,14.06553221,0.2861071916,2.042069184,32.23592267,0.284996,1,0,
3,2,47,14.06553238,0.2861071828,2.042069173,32.23592387,0.283121,1,0,
3,2,48,14.06553219,0.2861071904,2.042069184,32.2359227,0.315626,1,0,
3,2,49,14.06553234,0.2861071833,2.042069175,32.23592362,0.277396,1,0,
3,2,50,14.06553235,0.2861071842,2.042069175,32.23592369,0.291241,1,0,
3,2,51,14.06553238,0.2861071848,2.042069174,32.23592381,0.266556,1,0,
3,2,52,14.06553239,0.286107184,2.042069173,32.23592381,0.332669,1,0,
3,2,53,14.06553236,0.2861071818,2.042069173,32.23592385,0.301249,1,0,
3,2,54,14.06553222,0.2861071884,2.042069183,32.2359228,0.280306,1,0,
3,2,55,14.06553226,0.2861071902,2.042069182,32.23592292,0.359513,1,0,
3,2,56,14.06553222,0.2861071901,2.042069184,32.23592273,0.296401,1,0,
3,2,57,14.06553237,0.2861071847,2.042069174,32.23592376,0.316147,1,0,
