n_prediction,n_control,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,mean_solve_time_s,solver_success_rate,n_constraint_violations,violation_hours
4,2,51,13.41822058,0.2091443936,2.086802715,26.33756902,0.0659871,1,0,
4,2,52,13.416979,0.2090917849,2.08681512,26.3355816,0.060539,1,0,
4,2,53,13.4155959,0.2090331515,2.086828981,26.3333626,0.0608791,1,0,
4,2,54,13.41725679,0.2091035642,2.086812325,26.33602848,0.061101,1,0,
4,2,55,13.41408108,0.2089689461,2.086844109,26.33093841,0.0616723,1,0,
4,2,56,13.40911641,0.2087583702,2.086893826,26.32297621,0.0622694,1,0,
4,2,57,13.41353194,0.2089456707,2.086849577,26.3300614,0.0627555,1,0,
4,2,58,13.4171214,0.2090978379,2.086813654,26.33581463,0.0625902,1,0,
4,2,59,13.41559699,0.2090332005,2.086828958,26.33336568,0.0642385,1,0,
4,2,60,13.41408,0.2089688943,2.086844129,26.33093553,0.061777,1,0,
4,2,61,13.41408189,0.2089689838,2.086844093,26.33094065,0.0607789,1,0,
4,3,42,13.41441419,0.2089605298,2.086826295,26.33284777,0.100532,1,0,
4,3,43,13.4108208,0.2088087335,2.08686269,26.32704563,0.0993606,1,0,
4,3,44,13.4131695,0.2089079555,2.086838903,26.33083797,0.100339,1,0,
4,3,45,13.40971235,0.208761881,2.086873957,26.32525105,0.0991626,1,0,
4,3,46,13.41911479,0.2091589723,2.086778758,26.34042814,0.105327,1,0,
4,3,47,13.40943876,0.2087503286,2.086876703,26.32481207,0.102719,1,0,
4,3,48,13.41551971,0.2090072085,2.086815109,26.33463133,0.0975398,1,0,
4,3,49,13.41827865,0.2091236567,2.08678727,26.33907324,0.104396,1,0,
4,3,50,13.42049305,0.2092171063,2.086764877,26.34264375,0.102061,1,0,
4,3,51,13.41841937,0.2091296049,2.086785824,26.33930286,0.106229,1,0,
4,3,52,13.41717582,0.209077121,2.086798388,26.33729891,0.100969,1,0,
4,3,53,13.41579052,0.2090186219,2.086812425,26.33506171,0.0975184,1,0,
4,3,54,13.41745404,0.2090888711,2.086795558,26.33774953,0.102378,1,0,
4,3,55,13.41427326,0.2089545673,2.086827748,26.33261726,0.0968943,1,0,
4,3,56,13.40930045,0.2087444832,2.086878107,26.32458835,0.0985813,1,0,
4,3,57,13.41372322,0.2089313505,2.086833289,26.33173265,0.096757,1,0,
4,3,58,13.41731845,0.2090831582,2.086796903,26.33753389,0.107176,1,0,
4,3,59,13.4157916,0.2090186738,2.086812405,26.33506457,0.101331,1,0,
4,3,60,13.41427219,0.2089545167,2.086827769,26.33261436,0.101132,1,0,
4,3,61,13.41427408,0.2089546061,2.086827732,26.33261945,0.101728,1,0,
6,1,42,13.44020775,0.2092310377,2.087119419,26.30291458,0.0703726,1,0,
6,1,43,13.43665209,0.2090984538,2.087168489,26.29590261,0.067441,1,0,
6,1,44,13.43897621,0.209185135,2.087136418,26.30048579,0.0684957,1,0,
6,1,45,13.435555,0.2090575665,2.087183712,26.29372997,0.0687636,1,0,
6,1,46,13.44485773,0.2094042945,2.087055408,26.31206493,0.0670232,1,0,
6,1,47,13.43528433,0.2090474321,2.087187399,26.29320121,0.0675642,1,0,
6,1,48,13.44130146,0.2092718062,2.087104353,26.30506808,0.0651593,1,0,
6,1,49,13.44403046,0.2093735639,2.087066913,26.31042489,0.0649121,1,0,
6,1,50,13.4462207,0.2094551089,2.087036772,26.31473308,0.0658035,1,0,
6,1,51,13.44416971,0.2093787207,2.087064949,26.31070387,0.0651972,1,0,
6,1,52,13.44293972,0.2093328886,2.087081854,26.30828643,0.0652389,1,0,
6,1,53,13.44156918,0.2092818568,2.08710078,26.30558317,0.0661,1,0,
6,1,54,13.44321498,0.2093431224,2.087078031,26.30883159,0.0667325,1,0,
6,1,55,13.44006825,0.2092258724,2.087121397,26.30263386,0.0705496,1,0,
6,1,56,13.43514746,0.2090423257,2.087189294,26.29293061,0.0680385,1,0,
6,1,57,13.43952412,0.2092055519,2.087128842,26.30156772,0.0666087,1,0,
6,1,58,13.44308094,0.2093380944,2.087079822,26.30857362,0.0664252,1,0,
6,1,59,13.44157027,0.2092818843,2.087100743,26.30558764,0.0660738,1,0,
6,1,60,13.44006711,0.2092258443,2.087121435,26.30262936,0.0668805,1,0,
6,1,61,13.44006908,0.209225892,2.087121369,26.30263732,0.0663913,1,0,
6,2,42,13.41539625,0.2084661976,2.086588287,26.35406238,0.144615,1,0,
6,2,43,13.41170978,0.2083417275,2.086638182,26.34704898,0.138581,1,0,
6,2,44,13.41411986,0.2084231112,2.086605571,26.35163332,0.138743,1,0,
6,2,45,13.41057282,0.208302977,2.086653489,26.34489102,0.136579,1,0,
6,2,46,13.4202108,0.2086287408,2.086523191,26.36321435,0.13627,1,0,
6,2,47,13.41029178,0.2082935038,2.086657266,26.34435944,0.131977,1,0,
6,2,48,13.41652931,0.2085044578,2.086572967,26.35621631,0.137016,1,0,
6,2,49,13.41935465,0.2085999195,2.086534873,26.36157593,0.138764,1,0,
6,2,50,13.42162052,0.2086763924,2.086504226,26.36588403,0.140518,1,0,
6,2,51,13.41949882,0.2086047599,2.086532884,26.36185406,0.144859,1,0,
6,2,52,13.4182257,0.2085617666,2.086550078,26.35943607,0.132551,1,0,
6,2,53,13.4168065,0.208513886,2.086569315,26.35673332,0.135801,1,0,
6,2,54,13.41851071,0.2085713659,2.086546196,26.35998087,0.140337,1,0,
6,2,55,13.41525161,0.2084613485,2.08659029,26.35378252,0.138393,1,0,
6,2,56,13.41014962,0.2082887303,2.086659203,26.34408791,0.133967,1,0,
6,2,57,13.41468781,0.2084422739,2.086597868,26.35271546,0.135057,1,0,
6,2,58,13.41837202,0.2085666509,2.086548025,26.35972199,0.137628,1,0,
6,2,59,13.41680766,0.2085139148,2.086569282,26.35673726,0.133568,1,0,
6,2,60,13.41525042,0.2084613249,2.086590327,26.35377815,0.135795,1,0,
6,2,61,13.41525249,0.208461369,2.086590265,26.35378561,0.138927,1,0,
6,3,42,13.41541033,0.2084504609,2.086573016,26.35560337,0.1678,1,0,
6,3,43,13.4117246,0.2083266581,2.08662355,26.34852551,0.16584,1,0,
6,3,44,13.41413419,0.2084076082,2.086590521,26.35315195,0.164218,1,0,
6,3,45,13.41058648,0.2082884468,2.086639208,26.34633413,0.168226,1,0,
6,3,46,13.42022377,0.2086121504,2.086507104,26.36483748,0.165759,1,0,
6,3,47,13.41030571,0.2082789708,2.086643009,26.34579986,0.163098,1,0,
6,3,48,13.41654314,0.2084885186,2.086557503,26.35777679,0.164962,1,0,
6,3,49,13.41936785,0.2085834719,2.086518924,26.36318509,0.170235,1,0,
6,3,50,13.42163315,0.2086595479,2.086487897,26.3675315,0.169118,1,0,
6,3,51,13.41951197,0.2085882895,2.086516914,26.36346545,0.176667,1,0,
6,3,52,13.41823915,0.2085455246,2.086534324,26.36102571,0.167172,1,0,
6,3,53,13.41682028,0.2084978961,2.086553802,26.35829864,0.17202,1,0,
6,3,54,13.4185241,0.2085550736,2.086530393,26.36157533,0.166859,1,0,
6,3,55,13.41526572,0.2084456393,2.086575045,26.35532085,0.166564,1,0,
6,3,56,13.41016365,0.2082742032,2.086644961,26.34552664,0.165576,1,0,
6,3,57,13.41470201,0.208426673,2.086582725,26.35424355,0.163991,1,0,
6,3,58,13.41838544,0.2085503821,2.086532247,26.36131403,0.167446,1,0,
6,3,59,13.41682143,0.2084979251,2.08655377,26.35830257,0.162361,1,0,
6,3,60,13.41526454,0.2084456128,2.08657508,26.35531665,0.163355,1,0,
6,3,61,13.4152666,0.2084456579,2.086575019,26.355324,0.168437,1,0,
6,6,42,13.41541738,0.2084485866,2.086571836,26.35571506,0.444774,1,0,
6,6,43,13.41173177,0.2083247674,2.086622369,26.34863711,0.434626,1,0,
6,6,44,13.41414128,0.2084057278,2.08658934,26.35326368,0.431191,1,0,
6,6,45,13.41059363,0.2082865666,2.086638034,26.34644506,0.429167,1,0,
6,6,46,13.42023068,0.2086102926,2.086505924,26.3649493,0.435074,1,0,
6,6,47,13.41031282,0.208277103,2.086641844,26.34590999,0.449065,1,0,
6,6,48,13.41655017,0.2084866458,2.086556321,26.3578886,0.436256,1,0,
6,6,49,13.41937478,0.2085816155,2.086517747,26.36329663,0.448319,1,0,
6,6,50,13.42164002,0.208657693,2.086486717,26.36764341,0.444595,1,0,
6,6,51,13.41951892,0.208586427,2.086515732,26.36357744,0.435323,1,0,
6,6,52,13.41824613,0.2085436575,2.086533142,26.36113764,0.445378,1,0,
6,6,53,13.41682729,0.2084960254,2.086552621,26.35841043,0.433014,1,0,
6,6,54,13.41853105,0.2085532105,2.086529213,26.3616871,0.438367,1,0,
6,6,55,13.41527279,0.2084437589,2.086573862,26.35543284,0.438582,1,0,
6,6,56,13.41017077,0.2082723344,2.086643796,26.34563667,0.439511,1,0,
6,6,57,13.4147091,0.2084247904,2.086581541,26.35435552,0.432542,1,0,
6,6,58,13.41839239,0.2085485189,2.086531066,26.36142588,0.430499,1,0,
6,6,59,13.41682846,0.2084960509,2.086552586,26.35841464,0.450672,1,0,
6,6,60,13.41527161,0.2084437354,2.086573898,26.35542851,0.44227,1,0,
6,6,61,13.41527367,0.208443779,2.086573836,26.35543599,0.445898,1,0,
8,1,42,13.44602401,0.2084181311,2.086609437,26.35114232,0.0964345,1,0,
8,1,43,13.44246976,0.2082996948,2.086664251,26.34364335,0.0892672,1,0,
8,1,44,13.44479513,0.2083771752,2.086628443,26.34854339,0.0895261,1,0,
8,1,45,13.44137662,0.2082632648,2.086681303,26.34131509,0.0911398,1,0,
8,1,46,13.45066049,0.2085726774,2.086537887,26.36093034,0.094618,1,0,
8,1,47,13.44110682,0.2082541866,2.086685417,26.34075023,0.0903378,1,0,
8,1,48,13.44711496,0.2084545132,2.086592599,26.35344591,0.0926075,1,0,
8,1,49,13.44983578,0.2085453595,2.086550777,26.35917291,0.0935458,1,0,
8,1,50,13.45201848,0.2086180431,2.08651708,26.36378148,0.0931441,1,0,
8,1,51,13.4499747,0.2085499268,2.08654857,26.35947252,0.093143,1,0,
8,1,52,13.44874851,0.2085090379,2.086567461,26.35688732,0.0938494,1,0,
8,1,53,13.44738182,0.2084635528,2.086588629,26.35399416,0.0940378,1,0,
8,1,54,13.44902301,0.2085181436,2.08656318,26.35747132,0.0951647,1,0,
8,1,55,13.44588472,0.2084135551,2.08661166,26.35084072,0.0925934,1,0,
8,1,56,13.4409703,0.2082496316,2.086687537,26.34046042,0.087816,1,0,
8,1,57,13.44534192,0.2083953845,2.08661997,26.34970148,0.0913384,1,0,
8,1,58,13.44888946,0.2085136262,2.086565171,26.35719657,0.0915902,1,0,
8,1,59,13.44738295,0.2084635636,2.086588583,26.35399948,0.0920774,1,0,
8,1,60,13.44588356,0.2084135464,2.086611708,26.35083522,0.094009,1,0,
8,1,61,13.44588556,0.2084135641,2.086611626,26.3508447,0.0930669,1,0,
8,2,42,13.42009941,0.207689742,2.086100739,26.40017643,0.181567,1,0,
8,2,43,13.41639233,0.2075709567,2.086154234,26.39282192,0.189263,1,0,
8,2,44,13.41881585,0.2076486281,2.086119271,26.39762909,0.194224,1,0,
8,2,45,13.41524736,0.2075343353,2.086170833,26.39054257,0.188709,1,0,
8,2,46,13.42494074,0.2078448873,2.086030965,26.40977147,0.192114,1,0,
8,2,47,13.41496508,0.2075252357,2.086174854,26.38998785,0.189359,1,0,
8,2,48,13.42123879,0.207726261,2.086084319,26.40243455,0.187911,1,0,
8,2,49,13.42407943,0.2078174161,2.086043503,26.40805185,0.186274,1,0,
8,2,50,13.42635601,0.2078906544,2.08601076,26.41255932,0.189275,1,0,
8,2,51,13.42422457,0.2078220157,2.086041361,26.40834458,0.196374,1,0,
8,2,52,13.42294422,0.2077809365,2.086059748,26.40581383,0.178677,1,0,
8,2,53,13.42151717,0.2077352982,2.086080422,26.40297458,0.183426,1,0,
8,2,54,13.42323093,0.2077900845,2.086055578,26.40638587,0.187732,1,0,
8,2,55,13.41995381,0.2076851326,2.086102897,26.39988185,0.183242,1,0,
8,2,56,13.41482222,0.2075206606,2.08617692,26.38970394,0.194116,1,0,
8,2,57,13.41938701,0.2076669135,2.086111013,26.39876376,0.184871,1,0,
8,2,58,13.42309161,0.2077855671,2.086057531,26.40611541,0.190732,1,0,
8,2,59,13.42151844,0.2077353131,2.08608038,26.40297949,0.183517,1,0,
8,2,60,13.41995255,0.207685116,2.086102938,26.39987704,0.182176,1,0,
8,2,61,13.41995474,0.2076851485,2.086102868,26.39988527,0.18143,1,0,
8,3,42,13.42009408,0.2076720141,2.086083175,26.401953,0.253117,1,0,
8,3,43,13.41638295,0.2075536377,2.086136933,26.39457346,0.259066,1,0,
