n_prediction,n_control,seed,hour,tau_Pa,phi_sen,rho_bar,varphi_bar_deg
3,1,55,2,2,0.2032728916,1.991030711,37.04586504
3,1,55,3,2,0.2048325047,2.020331394,33.76708383
3,1,55,4,2,0.2063854171,2.045823404,30.91670295
3,1,55,5,2,0.2079318185,2.067995106,28.43978355
3,1,55,6,1.994345531,0.2094424421,2.087252858,26.290281
3,1,56,0,,0.2011173184,1.920111732,45
3,1,56,1,1.772637821,0.2016745336,1.95736486,40.8152917
3,1,56,2,2,0.2031960473,1.991034564,37.04456711
3,1,56,3,2,0.2047114621,2.020338603,33.76491114
3,1,56,4,2,0.2062209559,2.045836487,30.91338094
3,1,56,5,2,0.2077247012,2.068016013,28.43510139
3,1,56,6,1.996854534,0.2092066269,2.087291689,26.28325958
3,1,57,0,,0.2011173184,1.920111732,45
3,1,57,1,1.771878364,0.2017028464,1.957361559,40.81598161
3,1,57,2,2,0.2032643693,1.991031136,37.04572137
3,1,57,3,2,0.2048190938,2.020332191,33.7668433
3,1,57,4,2,0.2063672137,2.045824851,30.91633538
3,1,57,5,2,0.2079089167,2.067997417,28.4392659
3,1,57,6,1.994619534,0.2094163883,2.087257137,26.28950648
3,1,58,0,,0.2011173184,1.920111732,45
3,1,58,1,1.771263721,0.20172583,1.957358886,40.8165409
3,1,58,2,2,0.2033198796,1.99102836,37.04665816
3,1,58,3,2,0.2049065772,2.020326989,33.76841271
3,1,58,4,2,0.2064861293,2.0458154,30.91873646
3,1,58,5,2,0.2080587356,2.067982302,28.44265182
3,1,58,6,1.992810473,0.2095869409,2.087229058,26.29458411
3,1,59,0,,0.2011173184,1.920111732,45
3,1,59,1,1.771524397,0.2017161045,1.957360022,40.81630375
3,1,59,2,2,0.2032963606,1.991029538,37.04626104
3,1,59,3,2,0.204869474,2.020329196,33.76774706
3,1,59,4,2,0.2064356463,2.045819412,30.91771723
3,1,59,5,2,0.2079950726,2.067988723,28.44121321
3,1,59,6,1.993584016,0.2095144351,2.087241014,26.29242335
3,1,60,0,,0.2011173184,1.920111732,45
3,1,60,1,1.771784313,0.2017063807,1.957361151,40.81606725
3,1,60,2,2,0.2032728848,1.991030712,37.04586491
3,1,60,3,2,0.2048324876,2.020331395,33.76708353
3,1,60,4,2,0.2063853852,2.045823407,30.91670233
3,1,60,5,2,0.2079317674,2.067995111,28.43978244
3,1,60,6,1.994347387,0.2094423774,2.087252873,26.29027859
3,1,61,0,,0.2011173184,1.920111732,45
3,1,61,1,1.771784058,0.2017063822,1.95736115,40.81606744
3,1,61,2,2,0.2032728964,1.99103071,37.04586518
3,1,61,3,2,0.2048325173,2.020331393,33.76708409
3,1,61,4,2,0.2063854408,2.045823402,30.91670344
3,1,61,5,2,0.2079318565,2.067995102,28.43978441
3,1,61,6,1.994344219,0.2094424907,2.087252846,26.29028279
3,2,42,0,,0.2011173184,1.920111732,45
3,2,42,1,1.642437346,0.2013596829,1.956405764,40.91964799
3,2,42,2,1.966996819,0.2027642997,1.990071043,37.14810604
3,2,42,3,2,0.2043329803,2.019512444,33.85359607
3,2,42,4,2,0.205894802,2.045126568,30.98957763
3,2,42,5,2,0.2074499583,2.06740421,28.50083846
3,2,42,6,1.994796363,0.2089714989,2.086755368,26.34095046
3,2,43,0,,0.2011173184,1.920111732,45
3,2,43,1,1.642899098,0.2013385032,1.956408402,40.91911295
3,2,43,2,1.967939478,0.2027165768,1.990077796,37.14680948
3,2,43,3,2,0.2042531744,2.019520807,33.85175742
3,2,43,4,2,0.2057834702,2.04513848,30.98698504
3,2,43,5,2,0.2073076452,2.067421183,28.49732793
3,2,43,6,1.996439498,0.2088074275,2.086784212,26.33585976
3,2,44,0,,0.2011173184,1.920111732,45
3,2,44,1,1.642596834,0.2013523514,1.956406675,40.91946306
3,2,44,2,1.967323034,0.2027477826,1.990073379,37.14765745
3,2,44,3,2,0.2043053483,2.019515338,33.8529597
3,2,44,4,2,0.2058562438,2.045130691,30.98868
3,2,44,5,2,0.2074006583,2.067410087,28.49962264
3,2,44,6,1.995364668,0.2089146559,2.086765357,26.33918724
3,2,45,0,,0.2011173184,1.920111732,45
3,2,45,1,1.643041768,0.2013319823,1.956409218,40.91894783
3,2,45,2,1.968230833,0.20270187,1.990079881,37.14640944
3,2,45,3,2,0.2042285741,2.019523388,33.85119027
3,2,45,4,2,0.2057491377,2.045142156,30.98618527
3,2,45,5,2,0.2072637382,2.067426421,28.49624469
3,2,45,6,1.996953718,0.2087567966,2.086793138,26.33428591
3,2,46,0,,0.2011173184,1.920111732,45
3,2,46,1,1.641835828,0.201387367,1.956402328,40.92034602
3,2,46,2,1.965767462,0.202826627,1.990062228,37.14979892
3,2,46,3,2,0.2044373003,2.019501524,33.85599821
3,2,46,4,2,0.2060404027,2.045111004,30.99296663
3,2,46,5,2,0.2076361437,2.067382019,28.50542949
3,2,46,6,1.992662393,0.209186132,2.086717683,26.34760463
3,2,47,0,,0.2011173184,1.920111732,45
3,2,47,1,1.643077059,0.2013303545,1.956409418,40.91890691
3,2,47,2,1.968302557,0.2026982058,1.990080395,37.1463104
3,2,47,3,2,0.2042224684,2.019524026,33.85104985
3,2,47,4,2,0.2057406451,2.045143064,30.98598758
3,2,47,5,2,0.2072529124,2.067427713,28.49597759
3,2,47,6,1.997077796,0.2087443389,2.086795325,26.33389971
3,2,48,0,,0.2011173184,1.920111732,45
3,2,48,1,1.642295542,0.2013661977,1.956404954,40.91981243
3,2,48,2,1.966707175,0.2027789706,1.990068967,37.14850465
3,2,48,3,2,0.2043575247,2.019509873,33.85416147
3,2,48,4,2,0.2059290492,2.045122905,30.99037503
3,2,48,5,2,0.2074937413,2.067398989,28.50191835
3,2,48,6,1.994293663,0.209021973,2.086746503,26.34251559
3,2,49,0,,0.2011173184,1.920111732,45
3,2,49,1,1.641942558,0.201382478,1.956402939,40.92022224
