n_prediction,n_control,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,mean_solve_time_s,solver_success_rate,n_constraint_violations,violation_hours
3,1,42,19.36243656,0.2341943346,1.923419433,45,0.106912,1,0,
3,1,43,19.36243656,0.2341943346,1.923419433,45,0.115081,1,0,
3,1,44,19.36243656,0.2341943346,1.923419433,45,0.107945,1,0,
3,1,45,19.36243656,0.2341943346,1.923419433,45,0.11354,1,0,
3,1,46,19.36243656,0.2341943346,1.923419433,45,0.10278,1,0,
3,1,47,19.36243656,0.2341943346,1.923419433,45,0.11722,1,0,
3,1,48,19.36243656,0.2341943346,1.923419433,45,0.111883,1,0,
3,1,49,19.36243656,0.2341943346,1.923419433,45,0.112949,1,0,
3,1,50,19.36243656,0.2341943346,1.923419433,45,0.108776,1,0,
3,1,51,19.36243656,0.2341943346,1.923419433,45,0.110463,1,0,
3,1,52,19.36243656,0.2341943346,1.923419433,45,0.12603,1,0,
3,1,53,19.36243656,0.2341943346,1.923419433,45,0.0957731,1,0,
3,1,54,19.36243656,0.2341943346,1.923419433,45,0.10969,1,0,
3,1,55,19.36243656,0.2341943346,1.923419433,45,0.106824,1,0,
3,1,56,19.36243656,0.2341943346,1.923419433,45,0.100509,1,0,
3,1,57,19.36243656,0.2341943346,1.923419433,45,0.0985025,1,0,
3,1,58,19.36243656,0.2341943346,1.923419433,45,0.0970349,1,0,
3,1,59,19.36243656,0.2341943346,1.923419433,45,0.106558,1,0,
3,1,60,19.36243656,0.2341943346,1.923419433,45,0.105747,1,0,
3,1,61,19.36243656,0.2341943346,1.923419433,45,0.108054,1,0,
3,2,42,12.79435391,0.2856457582,2.15031687,31.1404816,0.371743,1,0,
3,2,43,12.7943539,0.2856457577,2.150316871,31.14048152,0.252309,1,0,
3,2,44,12.79435563,0.2856457102,2.150316647,31.14049527,0.342102,1,0,
3,2,45,12.79435563,0.2856457099,2.150316648,31.14049517,0.261551,1,0,
3,2,46,12.79435394,0.2856457576,2.150316867,31.1404818,0.346461,1,0,
3,2,47,12.79435385,0.2856457599,2.150316876,31.14048124,0.276207,1,0,
3,2,48,12.79435394,0.2856457604,2.150316871,31.14048156,0.28029,1,0,
3,2,49,12.79435389,0.2856457595,2.150316874,31.14048136,0.290725,1,0,
3,2,50,12.79435311,0.285645784,2.150316977,31.14047507,0.333443,1,0,
3,2,51,12.79435398,0.2856457589,2.150316867,31.14048178,0.322679,1,0,
3,2,52,12.79435397,0.2856457594,2.150316868,31.14048177,0.348648,1,0,
3,2,53,12.79435393,0.2856457596,2.15031687,31.14048163,0.301345,1,0,
3,2,54,12.79435192,0.285645815,2.15031713,31.14046571,0.311383,1,0,
3,2,55,12.79435388,0.2856457624,2.150316878,31.14048115,0.352295,1,0,
3,2,56,12.79435395,0.2856457587,2.150316866,31.14048188,0.346099,1,0,
3,2,57,12.79435391,0.2856457593,2.150316871,31.14048153,0.305484,1,0,
3,2,58,12.79435389,0.2856458031,2.150316939,31.1404776,0.344106,1,0,
3,2,59,12.79435565,0.2856457099,2.150316647,31.14049525,0.294146,1,0,
3,2,60,12.79435563,0.285645711,2.150316649,31.14049513,0.322891,1,0,
3,2,61,12.79435391,0.2856457591,2.150316873,31.14048143,0.270001,1,0,
3,3,42,12.78172855,0.2861713006,2.151577044,31.06500539,0.551636,1,0,
3,3,43,12.78172736,0.2861713495,2.151577184,31.06499693,0.496821,1,0,
3,3,44,12.78172728,0.28617135,2.15157719,31.06499656,0.600332,1,0,
3,3,45,12.78172724,0.286171351,2.151577194,31.06499631,0.544437,1,0,
3,3,46,12.78172716,0.2861713556,2.151577205,31.06499564,0.579994,1,0,
3,3,47,12.78172732,0.2861713485,2.151577186,31.0649968,0.544347,1,0,
3,3,48,12.78172725,0.2861713497,2.151577192,31.06499644,0.518332,1,0,
3,3,49,12.78172739,0.286171348,2.15157718,31.06499715,0.519072,1,0,
3,3,50,12.78172737,0.2861713591,2.151577195,31.06499634,0.537559,1,0,
3,3,51,12.7817255,0.2861714145,2.15157739,31.06498449,0.430313,1,0,
3,3,52,12.78172608,0.286171402,2.151577335,31.06498782,0.594876,1,0,
3,3,53,12.78172738,0.2861713624,2.151577198,31.06499613,0.467485,1,0,
3,3,54,12.78172626,0.286171389,2.151577307,31.0649895,0.373591,1,0,
3,3,55,12.78172755,0.2861713412,2.151577161,31.06499829,0.674882,1,0,
3,3,56,12.7817273,0.2861713503,2.151577189,31.0649966,0.518569,1,0,
3,3,57,12.78172731,0.2861713589,2.151577199,31.06499605,0.459088,1,0,
3,3,58,12.7817273,0.28617135,2.151577189,31.06499663,0.4358,1,0,
3,3,59,12.78172582,0.2861714037,2.151577355,31.06498657,0.591313,1,0,
3,3,60,12.78172581,0.2861714046,2.151577357,31.06498647,0.566509,1,0,
3,3,61,12.78172724,0.2861713472,2.15157719,31.06499653,1.07635,1,0,
4,1,42,19.36243656,0.2341943346,1.923419433,45,0.167204,1,0,
4,1,43,19.36243656,0.2341943346,1.923419433,45,0.126569,1,0,
4,1,44,19.36243656,0.2341943346,1.923419433,45,0.152507,1,0,
4,1,45,19.36243656,0.2341943346,1.923419433,45,0.161123,1,0,
4,1,46,19.36243656,0.2341943346,1.923419433,45,0.15219,1,0,
4,1,47,19.36243656,0.2341943346,1.923419433,45,0.1318,1,0,
4,1,48,19.36243656,0.2341943346,1.923419433,45,0.156191,1,0,
4,1,49,19.36243656,0.2341943346,1.923419433,45,0.171611,1,0,
4,1,50,19.36243656,0.2341943346,1.923419433,45,0.171205,1,0,
4,1,51,19.36243656,0.2341943346,1.923419433,45,0.160121,1,0,
4,1,52,19.36243656,0.2341943346,1.923419433,45,0.149923,1,0,
4,1,53,19.36243656,0.2341943346,1.923419433,45,0.151803,1,0,
4,1,54,19.36243656,0.2341943346,1.923419433,45,0.166316,1,0,
4,1,55,19.36243656,0.2341943346,1.923419433,45,0.164314,1,0,
4,1,56,19.36243656,0.2341943346,1.923419433,45,0.153388,1,0,
4,1,57,19.36243656,0.2341943346,1.923419433,45,0.157801,1,0,
4,1,58,19.36243656,0.2341943346,1.923419433,45,0.151391,1,0,
4,1,59,19.36243656,0.2341943346,1.923419433,45,0.132997,1,0,
4,1,60,19.36243656,0.2341943346,1.923419433,45,0.162512,1,0,
4,1,61,19.36243656,0.2341943346,1.923419433,45,0.174432,1,0,
4,2,42,12.89928804,0.2789889094,2.140139865,31.73493911,0.558729,1,0,
4,2,43,12.89928804,0.2789889089,2.14013987,31.7349388,0.525647,1,0,
4,2,44,12.89928808,0.2789889068,2.140139868,31.73493893,0.439281,1,0,
4,2,45,12.89928801,0.27898891,2.140139868,31.73493893,0.47811,1,0,
4,2,46,12.89928808,0.2789889081,2.140139861,31.73493934,0.532179,1,0,
4,2,47,12.89928815,0.2789889049,2.14013986,31.73493942,0.556896,1,0,
4,2,48,12.89928806,0.2789889092,2.140139864,31.73493921,0.459428,1,0,
4,2,49,12.89928808,0.2789889082,2.140139864,31.73493917,0.403038,1,0,
4,2,50,12.89928806,0.2789889077,2.140139869,31.73493888,0.536847,1,0,
4,2,51,12.89928976,0.278988849,2.140139804,31.73494255,0.642279,1,0,
4,2,52,12.89928798,0.2789889113,2.140139872,31.73493868,0.520789,1,0,
4,2,53,12.89928808,0.278988908,2.140139865,31.73493911,0.686429,1,0,
4,2,54,12.89928812,0.2789889057,2.140139858,31.73493952,0.510916,1,0,
4,2,55,12.89928809,0.278988908,2.140139863,31.73493922,0.572113,1,0,
4,2,56,12.89928807,0.2789889072,2.140139873,31.73493863,0.501277,1,0,
4,2,57,12.89928805,0.2789889091,2.140139864,31.73493917,0.441888,1,0,
4,2,58,12.89928808,0.2789889086,2.14013986,31.73493945,0.299246,1,0,
4,2,59,12.89928809,0.2789889078,2.140139865,31.73493911,0.380312,1,0,
4,2,60,12.89928801,0.2789889103,2.140139868,31.73493893,0.578548,1,0,
4,2,61,12.89928808,0.2789889073,2.140139866,31.73493904,0.484592,1,0,
4,3,42,12.8879991,0.2795492548,2.140571144,31.71148636,0.664705,1,0,
4,3,43,12.88799916,0.2795492529,2.140571137,31.71148677,0.746474,1,0,
4,3,44,12.88799905,0.2795492556,2.140571154,31.71148571,0.693759,1,0,
4,3,45,12.88799459,0.2795493735,2.140571771,31.71144793,0.756767,1,0,
4,3,46,12.88799911,0.2795492547,2.140571144,31.71148632,0.742915,1,0,
4,3,47,12.88799905,0.2795492578,2.140571147,31.71148618,0.653865,1,0,
4,3,48,12.88800338,0.2795491421,2.140570549,31.71152283,0.667008,1,0,
4,3,49,12.88799915,0.279549253,2.140571141,31.7114865,0.669668,1,0,
4,3,50,12.8880004,0.2795492201,2.140570969,31.71149703,0.775518,1,0,
4,3,51,12.8879985,0.2795492711,2.140571228,31.71148118,0.699747,1,0,
4,3,52,12.8879991,0.2795492536,2.140571146,31.71148618,0.737263,1,0,
4,3,53,12.88799903,0.2795492581,2.140571151,31.7114859,0.69274,1,0,
4,3,54,12.88799915,0.2795492534,2.14057114,31.71148658,0.802941,1,0,
4,3,55,12.88799909,0.2795492559,2.140571145,31.71148629,0.753138,1,0,
4,3,56,12.88799941,0.2795492464,2.140571102,31.71148892,0.66036,1,0,
4,3,57,12.88799899,0.2795492578,2.140571159,31.7114854,0.688922,1,0,
4,3,58,12.88799451,0.2795493767,2.140571781,31.7114473,0.854935,1,0,
4,3,59,12.8879992,0.2795492515,2.14057113,31.71148719,0.73597,1,0,
4,3,60,12.88799904,0.2795492568,2.140571154,31.7114857,0.735304,1,0,
4,3,61,12.8879987,0.2795492663,2.140571197,31.71148309,0.845096,1,0,
6,1,42,19.36243656,0.2341943346,1.923419433,45,0.237339,1,0,
6,1,43,19.36243656,0.2341943346,1.923419433,45,0.249296,1,0,
6,1,44,19.36243656,0.2341943346,1.923419433,45,0.232794,1,0,
6,1,45,19.36243656,0.2341943346,1.923419433,45,0.228621,1,0,
6,1,46,19.36243656,0.2341943346,1.923419433,45,0.229546,1,0,
6,1,47,19.36243656,0.2341943346,1.923419433,45,0.228359,1,0,
6,1,48,19.36243656,0.2341943346,1.923419433,45,0.245916,1,0,
6,1,49,19.36243656,0.2341943346,1.923419433,45,0.262561,1,0,
6,1,50,19.36243656,0.2341943346,1.923419433,45,0.261492,1,0,
6,1,51,19.36243656,0.2341943346,1.923419433,45,0.266754,1,0,
6,1,52,19.36243656,0.2341943346,1.923419433,45,0.25533,1,0,
6,1,53,19.36243656,0.2341943346,1.923419433,45,0.254402,1,0,
6,1,54,19.36243656,0.2341943346,1.923419433,45,0.285702,1,0,
6,1,55,19.36243656,0.2341943346,1.923419433,45,0.265268,1,0,
6,1,56,19.36243656,0.2341943346,1.923419433,45,0.245234,1,0,
6,1,57,19.36243656,0.2341943346,1.923419433,45,0.240872,1,0,
6,1,58,19.36243656,0.2341943346,1.923419433,45,0.194185,1,0,
6,1,59,19.36243656,0.2341943346,1.923419433,45,0.191539,1,0,
6,1,60,19.36243656,0.2341943346,1.923419433,45,0.259083,1,0,
6,1,61,19.36243656,0.2341943346,1.923419433,45,0.259553,1,0,
6,2,42,13.27357656,0.2690426286,2.115381215,33.22019048,0.886027,1,0,
6,2,43,13.27357652,0.2690426296,2.115381232,33.22018944,0.769431,1,0,
6,2,44,13.27357648,0.2690426297,2.115381237,33.22018912,0.72943,1,0,
6,2,45,13.27357591,0.2690426406,2.115381314,33.22018437,0.671925,1,0,
6,2,46,13.27357629,0.2690426339,2.115381272,33.22018696,0.917206,1,0,
6,2,47,13.27357622,0.2690426356,2.115381291,33.22018578,0.816173,1,0,
6,2,48,13.27357677,0.2690426246,2.115381202,33.22019128,0.72469,1,0,
6,2,49,13.27357626,0.2690426346,2.115381279,33.22018654,0.731751,1,0,
6,2,50,13.2735767,0.2690426258,2.115381205,33.22019111,0.774442,1,0,
6,2,51,13.27357684,0.2690426224,2.115381208,33.22019087,0.745613,1,0,
6,2,52,13.2735761,0.269042638,2.115381288,33.22018598,0.851483,1,0,
6,2,53,13.27357668,0.2690426264,2.115381217,33.22019035,0.726368,1,0,
6,2,54,13.2735765,0.26904263,2.115381231,33.22018952,0.652804,1,0,
6,2,55,13.27357655,0.2690426286,2.115381222,33.22019007,0.962781,1,0,
6,2,56,13.27357643,0.2690426306,2.115381237,33.22018912,0.752115,1,0,
6,2,57,13.2735768,0.2690426235,2.115381211,33.22019069,0.717984,1,0,
6,2,58,13.27357614,0.2690426366,2.115381286,33.22018612,0.73463,1,0,
6,2,59,13.27357626,0.2690426345,2.115381283,33.22018631,0.959359,1,0,
6,2,60,13.27357657,0.2690426286,2.115381217,33.22019038,0.789645,1,0,
6,2,61,13.27357607,0.2690426385,2.115381297,33.22018542,0.749592,1,0,
6,3,42,13.25496406,0.2695047819,2.115458377,33.21825633,1.21747,1,0,
6,3,43,13.25496382,0.2695047866,2.115458414,33.21825403,1.12624,1,0,
6,3,44,13.2549637,0.2695047895,2.115458415,33.21825399,1.37977,1,0,
6,3,45,13.25496429,0.2695047764,2.115458374,33.2182565,1.20247,1,0,
6,3,46,13.25496426,0.2695047771,2.115458361,33.21825727,1.17637,1,0,
6,3,47,13.25496417,0.2695047787,2.115458364,33.21825715,1.21889,1,0,
6,3,48,13.25496414,0.2695047789,2.115458378,33.21825627,1.39796,1,0,
6,3,49,13.25496317,0.2695047989,2.115458528,33.218247,1.07058,1,0,
6,3,50,13.25497235,0.2695046327,2.115457992,33.21827948,1.12164,1,0,
6,3,51,13.25496422,0.2695047784,2.115458367,33.21825692,1.11648,1,0,
6,3,52,13.25496391,0.2695047851,2.115458393,33.21825532,1.14989,1,0,
6,3,53,13.25496426,0.2695047766,2.115458368,33.21825686,1.08281,1,0,
6,3,54,13.2549642,0.2695047785,2.115458362,33.21825723,1.36327,1,0,
6,3,55,13.25496427,0.2695047769,2.115458356,33.21825759,1.10224,1,0,
6,3,56,13.25496398,0.2695047827,2.115458376,33.2182564,1.12644,1,0,
6,3,57,13.25496391,0.2695047839,2.115458405,33.21825462,1.17262,1,0,
6,3,58,13.25496373,0.2695047867,2.115458423,33.2182535,1.32831,1,0,
6,3,59,13.25495112,0.269505067,2.115458324,33.21826141,1.00967,1,0,
6,3,60,13.25496428,0.2695047773,2.115458354,33.21825771,1.06144,1,0,
6,3,61,13.25496406,0.2695047815,2.115458375,33.21825648,1.23942,1,0,
6,6,42,13.2357151,0.2699629795,2.117148644,33.11547837,2.57318,1,0,
6,6,43,13.23571268,0.2699630316,2.117148977,33.11545786,2.31797,1,0,
6,6,44,13.23571477,0.2699629874,2.117148665,33.11547712,2.35593,1,0,
6,6,45,13.23572157,0.2699628445,2.11714768,33.11553776,2.47602,1,0,
6,6,46,13.23571385,0.2699630421,2.117148522,33.11548637,2.56041,1,0,
6,6,47,13.23571488,0.2699629856,2.11714864,33.11547869,2.53219,1,0,
