kind,label,morph,gamma_min,gamma_max,tau_h,config,seed,J,terminal_phi_sen,terminal_rho_bar,terminal_varphi_bar_deg,n_violations,rmse_phi_sen,rmse_rho_bar,rmse_varphi_bar_deg,solver_success_rate
oat,morph:low,5.920000000000001,,,,closed,42,13.51872377,0.2718772073,2.043516279,31.91303714,0,8.949412148e-05,0.01227787992,1.382220782,1.0
oat,morph:low,5.920000000000001,,,,open,42,13.51376346,0.2720147625,2.043680715,31.89608569,0,0,0.01238119747,1.392884715,1.0
oat,morph:low,5.920000000000001,,,,closed,43,13.51872331,0.2718772177,2.043516296,31.9130354,0,8.948771436e-05,0.01227789029,1.382221891,1.0
oat,morph:low,5.920000000000001,,,,open,43,13.51376356,0.2720147605,2.043680711,31.89608603,0,0,0.01238119718,1.392884683,1.0
oat,morph:low,5.920000000000001,,,,closed,44,13.51872375,0.271877208,2.043516281,31.91303693,0,8.949065834e-05,0.01227788235,1.382221015,1.0
oat,morph:low,5.920000000000001,,,,open,44,13.51376354,0.2720147596,2.043680717,31.89608539,0,0,0.01238119725,1.392884691,1.0
oat,morph:low,5.920000000000001,,,,closed,45,13.51872401,0.2718772009,2.04351627,31.91303809,0,8.949229981e-05,0.01227787901,1.382220653,1.0
oat,morph:low,5.920000000000001,,,,open,45,13.51376363,0.2720147563,2.043680714,31.89608566,0,0,0.01238119696,1.392884658,1.0
oat,morph:low,5.920000000000001,,,,closed,46,13.51872416,0.2718772007,2.043516263,31.91303892,0,8.963412643e-05,0.01227779336,1.38221277,1.0
oat,morph:low,5.920000000000001,,,,open,46,13.51376084,0.2720148908,2.043680641,31.89609541,0,0,0.01238120571,1.392885642,1.0
oat,morph:high,8.88,,,,closed,42,14.96145073,0.2721118515,2.015827284,35.03068893,0,6.2668689e-05,0.009101785339,1.024628509,1.0
oat,morph:high,8.88,,,,open,42,14.96410015,0.2720147625,2.015737459,35.03970196,0,0,0.009156062134,1.03005699,1.0
oat,morph:high,8.88,,,,closed,43,14.96145082,0.2721118873,2.015827261,35.03069186,0,6.271541575e-05,0.009101768154,1.024627198,1.0
oat,morph:high,8.88,,,,open,43,14.96410023,0.2720147605,2.015737456,35.0397022,0,0,0.00915606193,1.030056967,1.0
oat,morph:high,8.88,,,,closed,44,14.96145225,0.2721118053,2.015827241,35.03069324,0,6.264432838e-05,0.009101812694,1.024631355,1.0
oat,morph:high,8.88,,,,open,44,14.9641002,0.2720147596,2.01573746,35.03970179,0,0,0.00915606197,1.030056972,1.0
oat,morph:high,8.88,,,,closed,45,14.9614524,0.2721117997,2.015827235,35.03069381,0,6.264329306e-05,0.009101813796,1.02463147,1.0
oat,morph:high,8.88,,,,open,45,14.96410026,0.2720147563,2.015737458,35.039702,0,0,0.009156061751,1.030056947,1.0
oat,morph:high,8.88,,,,closed,46,14.96145126,0.2721118723,2.015827249,35.03069306,0,6.256695355e-05,0.009101855611,1.02463522,1.0
oat,morph:high,8.88,,,,open,46,14.96409851,0.2720148908,2.015737427,35.03970697,0,0,0.009156068564,1.030057713,1.0
oat,gamma_min:low,,0.002224,,,closed,42,14.30748637,0.2708885757,2.029140971,33.51913724,0,0.0008853934159,0.0005469825813,0.06935689489,1.0
oat,gamma_min:low,,0.002224,,,open,42,14.32944522,0.2702175908,2.028012833,33.63850413,0,0.001176613273,3.876066909e-05,0.01595703105,1.0
oat,gamma_min:low,,0.002224,,,closed,43,14.30748816,0.2708884804,2.029140957,33.51913771,0,0.0008854894793,0.0005469640686,0.06935491993,1.0
oat,gamma_min:low,,0.002224,,,open,43,14.32944531,0.2702175888,2.028012831,33.63850442,0,0.001176613269,3.87606654e-05,0.01595703054,1.0
oat,gamma_min:low,,0.002224,,,closed,44,14.30748657,0.2708885213,2.029140975,33.51913615,0,0.0008854619485,0.0005469922769,0.06935790498,1.0
oat,gamma_min:low,,0.002224,,,open,44,14.32944529,0.2702175879,2.028012835,33.63850391,0,0.001176613269,3.876066944e-05,0.01595703081,1.0
oat,gamma_min:low,,0.002224,,,closed,45,14.30748693,0.2708885585,2.029140926,33.5191421,0,0.0008853901825,0.0005469680278,0.06935537358,1.0
oat,gamma_min:low,,0.002224,,,open,45,14.32944536,0.2702175847,2.028012833,33.63850415,0,0.001176613262,3.876066704e-05,0.01595703031,1.0
oat,gamma_min:low,,0.002224,,,closed,46,14.30748683,0.2708885611,2.029140929,33.51914181,0,0.0008855450466,0.0005469597324,0.06935445299,1.0
oat,gamma_min:low,,0.002224,,,open,46,14.32944311,0.2702177194,2.028012786,33.63851092,0,0.001176613474,3.876064415e-05,0.01595704052,1.0
oat,gamma_min:high,,0.003336,,,closed,42,14.36821786,0.2731213454,2.026693352,33.81961303,0,0.0008772066041,0.0005699645956,0.07180781194,1.0
oat,gamma_min:high,,0.003336,,,open,42,14.34521737,0.2738076654,2.027875028,33.69439561,0,0.001174330599,3.868925546e-05,0.01592330577,1.0
oat,gamma_min:high,,0.003336,,,closed,43,14.36821583,0.2731214041,2.026693506,33.81959632,0,0.0008772198365,0.0005699059856,0.07180164444,1.0
oat,gamma_min:high,,0.003336,,,open,43,14.34521746,0.2738076634,2.027875025,33.6943959,0,0.001174330595,3.868925179e-05,0.01592330526,1.0
oat,gamma_min:high,,0.003336,,,closed,44,14.3682146,0.273121511,2.026693394,33.81961016,0,0.0008773696708,0.0005699238767,0.07180352327,1.0
oat,gamma_min:high,,0.003336,,,open,44,14.34521743,0.2738076626,2.027875029,33.69439539,0,0.001174330595,3.868925582e-05,0.01592330553,1.0
oat,gamma_min:high,,0.003336,,,closed,45,14.36821587,0.2731214034,2.026693504,33.8195966,0,0.0008772250986,0.0005699070715,0.0718017582,1.0
oat,gamma_min:high,,0.003336,,,open,45,14.34521751,0.2738076593,2.027875027,33.69439563,0,0.001174330588,3.868925342e-05,0.01592330503,1.0
oat,gamma_min:high,,0.003336,,,closed,46,14.36821608,0.2731213976,2.026693501,33.81959692,0,0.0008770651387,0.0005699201708,0.07180314904,1.0
oat,gamma_min:high,,0.003336,,,open,46,14.34521528,0.2738077935,2.027874981,33.69440237,0,0.001174330799,3.868923055e-05,0.01592331522,1.0
oat,gamma_max:low,,,0.010000000000000002,,closed,42,14.29873238,0.2706602563,2.029423378,33.48479784,0,0.001295985774,0.0006921947834,0.08733418286,1.0
oat,gamma_max:low,,,0.010000000000000002,,open,42,14.32685865,0.2697551711,2.028030584,33.63130503,0,0.001646731494,7.039060246e-05,0.02037296812,1.0
oat,gamma_max:low,,,0.010000000000000002,,closed,43,14.29874192,0.2706599357,2.029423331,33.48479953,0,0.001296209847,0.0006920726632,0.08732158794,1.0
oat,gamma_max:low,,,0.010000000000000002,,open,43,14.32685874,0.269755169,2.028030581,33.63130531,0,0.001646731521,7.039059976e-05,0.02037296818,1.0
oat,gamma_max:low,,,0.010000000000000002,,closed,44,14.29873241,0.2706602555,2.029423381,33.48479754,0,0.001295984014,0.0006921951034,0.0873342192,1.0
oat,gamma_max:low,,,0.010000000000000002,,open,44,14.32685872,0.2697551683,2.028030585,33.63130481,0,0.001646731544,7.039060345e-05,0.02037296841,1.0
oat,gamma_max:low,,,0.010000000000000002,,closed,45,14.29874207,0.2706599313,2.029423328,33.48479987,0,0.001296207066,0.0006920698946,0.08732130886,1.0
oat,gamma_max:low,,,0.010000000000000002,,open,45,14.32685879,0.2697551649,2.028030583,33.63130504,0,0.0016467316,7.039060306e-05,0.02037296863,1.0
oat,gamma_max:low,,,0.010000000000000002,,closed,46,14.2987324,0.2706602554,2.029423373,33.48479837,0,0.001296122628,0.0006921829812,0.08733275294,1.0
oat,gamma_max:low,,,0.010000000000000002,,open,46,14.32685656,0.2697553001,2.028030536,33.63131183,0,0.001646729143,7.039053275e-05,0.020372955,1.0
oat,gamma_max:high,,,0.015,,closed,42,14.37887387,0.2733744491,2.026373583,33.85843451,0,0.001265260884,0.0007421244036,0.09312389614,1.0
oat,gamma_max:high,,,0.015,,open,42,14.34779662,0.2742676761,2.02785737,33.70155721,0,0.001642921321,7.02546724e-05,0.02031985038,1.0
oat,gamma_max:high,,,0.015,,closed,43,14.3788751,0.2733744192,2.026373542,33.85843873,0,0.001265250983,0.0007421496918,0.0931265592,1.0
oat,gamma_max:high,,,0.015,,open,43,14.34779671,0.2742676742,2.027857367,33.7015575,0,0.001642921348,7.025466971e-05,0.02031985044,1.0
oat,gamma_max:high,,,0.015,,closed,44,14.37887521,0.2733744123,2.026373547,33.85843808,0,0.00126524577,0.0007421508984,0.0931266818,1.0
oat,gamma_max:high,,,0.015,,open,44,14.34779668,0.2742676733,2.027857372,33.70155699,0,0.001642921371,7.02546734e-05,0.02031985067,1.0
oat,gamma_max:high,,,0.015,,closed,45,14.3788739,0.2733744485,2.026373583,33.85843449,0,0.001265265869,0.0007421231509,0.09312376666,1.0
oat,gamma_max:high,,,0.015,,open,45,14.34779676,0.2742676701,2.027857369,33.70155723,0,0.001642921427,7.0254673e-05,0.02031985089,1.0
oat,gamma_max:high,,,0.015,,closed,46,14.37887387,0.2733744467,2.026373588,33.85843388,0,0.001265121673,0.0007421403883,0.09312553515,1.0
oat,gamma_max:high,,,0.015,,open,46,14.34779451,0.2742678039,2.027857323,33.70156396,0,0.001642918979,7.025460291e-05,0.02031983734,1.0
oat,tau_h:low,,,,0.4,closed,42,14.29679816,0.2704994921,2.029518574,33.47227966,0,0.001331507703,0.0007301773172,0.0925261703,1.0
oat,tau_h:low,,,,0.4,open,42,14.32624721,0.269550028,2.028038458,33.62811129,0,0.001711933673,6.85651672e-05,0.02184148395,1.0
oat,tau_h:low,,,,0.4,closed,43,14.29679808,0.2704994946,2.029518579,33.47227921,0,0.001331506407,0.0007301807554,0.09252652761,1.0
oat,tau_h:low,,,,0.4,open,43,14.32624729,0.2695500259,2.028038455,33.62811158,0,0.001711933704,6.856516405e-05,0.02184148402,1.0
oat,tau_h:low,,,,0.4,closed,44,14.29679808,0.2704994944,2.029518578,33.47227931,0,0.001331503768,0.0007301791681,0.09252636491,1.0
oat,tau_h:low,,,,0.4,open,44,14.32624727,0.2695500251,2.02803846,33.62811107,0,0.001711933741,6.856516865e-05,0.02184148449,1.0
oat,tau_h:low,,,,0.4,closed,45,14.29679807,0.2704994944,2.029518579,33.47227922,0,0.001331501676,0.0007301810652,0.09252656815,1.0
oat,tau_h:low,,,,0.4,open,45,14.32624734,0.2695500217,2.028038457,33.62811131,0,0.001711933807,6.85651681e-05,0.02184148479,1.0
oat,tau_h:low,,,,0.4,closed,46,14.29678846,0.2704998189,2.029518623,33.47227791,0,0.001331408172,0.0007302903452,0.09253765189,1.0
oat,tau_h:low,,,,0.4,open,46,14.32624512,0.2695501579,2.02803841,33.62811811,0,0.001711930612,6.856507846e-05,0.02184146131,1.0
oat,tau_h:high,,,,0.6,closed,42,14.37987329,0.2735454873,2.026284889,33.87033676,0,0.001255638509,0.0007690427276,0.09700548945,1.0
oat,tau_h:high,,,,0.6,open,42,14.34815141,0.2744545145,2.027850198,33.70446597,0,0.001651267269,6.326926499e-05,0.02145540058,1.0
oat,tau_h:high,,,,0.6,closed,43,14.37987699,0.2735453958,2.026284808,33.87034482,0,0.001255594303,0.0007691141167,0.09701301796,1.0
oat,tau_h:high,,,,0.6,open,43,14.3481515,0.2744545126,2.027850196,33.70446626,0,0.001651267299,6.326926166e-05,0.02145540061,1.0
oat,tau_h:high,,,,0.6,closed,44,14.37987353,0.2735454789,2.026284884,33.87033722,0,0.001255635395,0.0007690462445,0.09700586112,1.0
oat,tau_h:high,,,,0.6,open,44,14.34815147,0.2744545117,2.0278502,33.70446575,0,0.001651267345,6.326926674e-05,0.02145540126,1.0
oat,tau_h:high,,,,0.6,closed,45,14.37987178,0.2735455261,2.02628502,33.87032244,0,0.001255647268,0.0007689963606,0.09700058662,1.0
oat,tau_h:high,,,,0.6,open,45,14.34815154,0.2744545085,2.027850198,33.70446599,0,0.001651267412,6.326926605e-05,0.02145540158,1.0
oat,tau_h:high,,,,0.6,closed,46,14.37987284,0.2735454956,2.026284941,33.87033095,0,0.00125549139,0.0007690397359,0.09700510637,1.0
oat,tau_h:high,,,,0.6,open,46,14.34814929,0.2744546405,2.027850151,33.7044727,0,0.001651263901,6.326916625e-05,0.02145537233,1.0
morph,morph=6h,6.0,,,,closed,42,13.5693668,0.2718859676,2.042566292,32.02000926,0,8.372273468e-05,0.01150664989,1.295395825,1.0
morph,morph=6h,6.0,,,,open,42,13.56476042,0.2720147625,2.042719284,32.0042466,0,0,0.01160246708,1.305277546,1.0
morph,morph=6h,6.0,,,,closed,43,13.56936685,0.2718859659,2.042566295,32.02000888,0,8.372388541e-05,0.01150664964,1.295395814,1.0
morph,morph=6h,6.0,,,,open,43,13.56476051,0.2720147605,2.042719281,32.00424694,0,0,0.01160246681,1.305277516,1.0
morph,morph=6h,6.0,,,,closed,44,13.56936671,0.2718859746,2.042566285,32.02001012,0,8.371118575e-05,0.01150665622,1.295396391,1.0
morph,morph=6h,6.0,,,,open,44,13.56476049,0.2720147596,2.042719287,32.0042463,0,0,0.01160246688,1.305277523,1.0
morph,morph=6h,6.0,,,,closed,45,13.56936707,0.2718859607,2.042566285,32.02001005,0,8.372157383e-05,0.01150664841,1.295395637,1.0
morph,morph=6h,6.0,,,,open,45,13.56476058,0.2720147563,2.042719284,32.00424657,0,0,0.0116024666,1.305277492,1.0
morph,morph=6h,6.0,,,,closed,46,13.56936728,0.2718859436,2.042566305,32.02000755,0,8.388678444e-05,0.01150655346,1.295387023,1.0
morph,morph=6h,6.0,,,,open,46,13.56475782,0.2720148908,2.042719213,32.00425611,0,0,0.01160247482,1.305278417,1.0
morph,morph=7h,7.0,,,,closed,42,14.13853532,0.2719826026,2.031764407,33.23630853,0,2.078118923e-05,0.002945451424,0.3315867022,1.0
morph,morph=7h,7.0,,,,open,42,14.13749218,0.2720147625,2.031799396,33.23273406,0,0,0.0029668838,0.3337744275,1.0
morph,morph=7h,7.0,,,,closed,43,14.13853781,0.2719824619,2.031764462,33.23630077,0,2.09302909e-05,0.002945364175,0.3315787486,1.0
morph,morph=7h,7.0,,,,open,43,14.13749227,0.2720147605,2.031799393,33.23273436,0,0,0.002966883732,0.3337744199,1.0
morph,morph=7h,7.0,,,,closed,44,14.13853779,0.2719824593,2.031764468,33.23629999,0,2.093258086e-05,0.002945363438,0.3315786956,1.0
morph,morph=7h,7.0,,,,open,44,14.13749224,0.2720147596,2.031799398,33.23273382,0,0,0.002966883748,0.3337744216,1.0
morph,morph=7h,7.0,,,,closed,45,14.13853549,0.2719825977,2.031764402,33.23630896,0,2.077896671e-05,0.002945451947,0.3315867292,1.0
morph,morph=7h,7.0,,,,open,45,14.13749232,0.2720147563,2.031799395,33.23273407,0,0,0.002966883677,0.3337744136,1.0
morph,morph=7h,7.0,,,,closed,46,14.13853773,0.271982462,2.031764472,33.23629956,0,2.107238809e-05,0.002945284313,0.3315715288,1.0
morph,morph=7h,7.0,,,,open,46,14.13748994,0.2720148908,2.031799343,33.23274148,0,0,0.002966885822,0.333774655,1.0
morph,morph=8h,8.0,,,,closed,42,14.60972735,0.2720579965,2.022676168,34.25958357,0,2.799508275e-05,0.003999053888,0.4501959132,1.0
morph,morph=8h,8.0,,,,open,42,14.61100038,0.2720147625,2.022633398,34.26390877,0,0,0.004025168559,0.4528314629,1.0
morph,morph=8h,8.0,,,,closed,43,14.60972873,0.2720578959,2.02267621,34.25957775,0,2.788482823e-05,0.00399911096,0.4502009553,1.0
morph,morph=8h,8.0,,,,open,43,14.61100047,0.2720147605,2.022633396,34.26390904,0,0,0.004025168468,0.4528314527,1.0
morph,morph=8h,8.0,,,,closed,44,14.60972873,0.2720578942,2.02267621,34.25957765,0,2.788503038e-05,0.003999111456,0.4502010137,1.0
morph,morph=8h,8.0,,,,open,44,14.61100044,0.2720147596,2.0226334,34.26390858,0,0,0.004025168487,0.4528314548,1.0
